"ID";"Categories (x,y,z...)";"Name";"Reference";"Short description";"Base price";"Final price";"Quantity";"Status";
"100";"staples,RICE,Raw Rice";"Double Hours Long Jyoti Grain Rice";"Double Hours";"Pro Nature Organic";"0.000000";"222";"60";"1";
"101";"staples,RICE,Raw Rice";"Smart Red Raw Rice";"Smart Red Raw Rice";"Smart Red Raw Rice";"0.000000";"222";"60";"1";
"102";"staples,RICE,Dosa Rice";"Smart Dosa Rice";"Smart Dosa Rice";"Smart Dosa Rice";"0.000000";"222";"60";"1";
"103";"staples,RICE,Brown Rice";"India Gate Brown Rice";"India Gate";"India Gate Brown Rice";"0.000000";"222";"60";"1";
"104";"staples,RICE,Brown Rice";"Brown Rice (Loose)";"Brown Rice (Loose)";"Brown Rice (Loose)";"0.000000";"222";"60";"1";
"105";"staples,RICE,Bolied Rice";"Bolied Rice (loose)";"Bolied Rice";"Bolied Rice (loose)";"0.000000";"222";"60";"1";
"106";"staples,RICE,Sona Masoori";"Sona Masoori Primium";"Sona Primium";"Sona Masoori Primium";"0.000000";"222";"60";"1";
"107";"staples,RICE,Sona Masoori";"Sona Masoori Econamy";"Sona Masoori Econamy";"Sona Masoori Econamy";"0.000000";"222";"60";"1";
"108";"staples,RICE,Sona Masoori";"Safe Harvest Sona Masoori Rice";"Safe Harvest";"Safe Harvest Sona Masoori Rice";"0.000000";"222";"60";"1";
"109";"staples,RICE,Sona Masoori";"24 Mantra Organic Sona Masoori Rice";"24 Mantra Organic";"24 Mantra Organic Sona Masoori Rice";"0.000000";"222";"60";"1";
"110";"staples,RICE,Sona Masoori";"Pro Nature Organic Sona Masoori";"Pro Nature Masoori";"Pro Nature Organic Sona Masoori";"0.000000";"222";"60";"1";
"111";"staples,RICE,Sona Masoori";"24 Mantra Organic Sona Masoori Brown Rice";"24 Sona Brown";"24 Mantra Organic Sona Masoori Rice";"0.000000";"222";"60";"1";
"112";"staples,RICE,Sona Masoori";"24 Mantra Organic Sona Masoori Semi Brown Rice";"24 Mantra Organic Sona Masoori semi";"24 Mantra Organic Sona Masoori Semi Brown Rice";"0.000000";"222";"60";"1";
"113";"staples,RICE,Sona Masoori";"Sona Masoori Steam Rice";"Sona Masoori Steam Rice";"Sona Masoori Steam Rice";"0.000000";"222";"60";"1";
"114";"staples,RICE,Sona Masoori";"Sona Masoori Bolied Rice";"Sona Bolied";"Sona Masoori Bolied Rice";"0.000000";"222";"60";"1";
"115";"staples,RICE,Sona Masoori";"Sona Masoori Row Rice";"Masoori Row Rice";"Sona Masoori Row Rice";"0.000000";"222";"60";"1";
"116";"staples,RICE,Sona Masoori";"Sona Masoori Gold Raw Rice";"Masoori Gold Rice";"Sona Masoori Bolied Rice";"0.000000";"222";"60";"1";
"117";"staples,RICE,Sona Masoori";"Sona Masoori Suprim Rice";"Suprim Rice";"Sona Masoori Bolied Rice";"0.000000";"222";"60";"1";
"300";"staples,RICE,Dosa Rice";"Pillsbury Instant Mix Rice Dosa";"Pillsbury";"Pillsbury Instant Mix Rice Dosa";"0.000000";"222";"60";"1";
"300";"staples,RICE,Dosa Rice";"Dosa Rice (loose)";"Dosa loose";"Dosa Rice (loos)";"0.000000";"222";"60";"1";
